Blood Status,Bravery,Intelligence,Loyalty,Ambition,Dark Arts Knowledge,Quidditch Skills,Dueling Skills,Creativity,House
Pure-blood,7,7,6,9,8,6,9,3,Slytherin
Muggle-born,6,6,4,9,9,5,10,5,Slytherin
Muggle-born,2,4,7,1,2,3,1,1,Hufflepuff
Pure-blood,8,7,1,3,1,5,7,5,Gryffindor
Half-blood,1,7,10,3,0,6,5,2,Hufflepuff
Muggle-born,5,6,10,2,1,3,4,7,Hufflepuff
Half-blood,2,1,5,7,10,10,8,4,Slytherin
Half-blood,4,9,3,7,2,1,4,10,Ravenclaw
Half-blood,3,2,7,2,5,4,3,5,Hufflepuff
Muggle-born,9,1,2,4,2,5,7,6,Gryffindor
Pure-blood,9,7,4,1,0,8,8,1,Gryffindor
Pure-blood,2,6,1,9,9,9,7,3,Slytherin
Muggle-born,10,1,5,5,3,8,8,3,Gryffindor
Muggle-born,5,3,8,6,1,2,6,1,Hufflepuff
Half-blood,6,2,5,9,7,10,9,5,Slytherin
Pure-blood,5,9,1,5,4,7,6,7,Ravenclaw
Half-blood,10,3,3,5,0,5,10,6,Gryffindor
Half-blood,7,2,1,3,3,8,9,1,Gryffindor
Half-blood,2,10,4,1,3,1,7,9,Ravenclaw
Half-blood,3,8,7,6,0,2,4,10,Ravenclaw
Muggle-born,3,9,4,3,2,7,1,10,Ravenclaw
Muggle-born,7,4,3,4,5,10,8,6,Gryffindor
Muggle-born,1,10,6,2,4,5,4,8,Ravenclaw
Half-blood,3,7,7,5,4,5,5,5,Hufflepuff
Half-blood,2,5,8,3,4,5,5,5,Hufflepuff
Half-blood,2,9,6,3,3,5,1,9,Ravenclaw
Half-blood,1,3,10,5,2,1,5,1,Hufflepuff
Muggle-born,1,7,5,1,3,7,3,8,Ravenclaw
Pure-blood,7,6,4,8,9,5,9,3,Slytherin
Half-blood,9,6,2,5,3,7,9,6,Gryffindor
Muggle-born,1,8,1,2,5,3,5,10,Ravenclaw
Pure-blood,6,7,9,6,5,2,6,1,Hufflepuff
Pure-blood,2,5,7,4,0,0,4,1,Hufflepuff
Half-blood,1,5,8,6,5,5,6,3,Hufflepuff
Pure-blood,7,6,9,6,5,1,4,4,Hufflepuff
Pure-blood,7,7,4,8,10,8,9,7,Slytherin
Half-blood,7,10,5,2,2,3,3,9,Ravenclaw
Half-blood,3,5,6,10,8,7,8,4,Slytherin
Pure-blood,7,10,1,7,2,2,6,7,Ravenclaw
Pure-blood,9,3,6,3,2,5,9,6,Gryffindor
Muggle-born,1,10,3,3,2,4,7,9,Ravenclaw
Muggle-born,6,7,7,5,4,4,3,2,Hufflepuff
Pure-blood,7,5,4,5,5,5,10,5,Gryffindor
Muggle-born,3,10,6,5,1,0,1,10,Ravenclaw
Half-blood,4,7,2,4,5,5,7,7,Ravenclaw
Pure-blood,6,9,1,5,1,3,3,8,Ravenclaw
Pure-blood,7,10,6,1,3,5,7,8,Ravenclaw
Pure-blood,5,4,6,9,7,10,9,7,Slytherin
Muggle-born,8,5,7,1,5,10,8,2,Gryffindor
Half-blood,4,1,4,9,10,8,7,3,Slytherin
Muggle-born,1,5,7,7,9,9,10,3,Slytherin
Muggle-born,10,2,7,7,4,6,9,5,Gryffindor
Half-blood,3,7,8,5,0,7,7,5,Hufflepuff
Muggle-born,3,1,2,7,10,10,10,2,Slytherin
Pure-blood,2,2,4,8,10,6,8,1,Slytherin
Pure-blood,7,3,6,10,10,5,7,2,Slytherin
Muggle-born,6,3,2,8,8,7,9,7,Slytherin
Half-blood,3,5,3,10,7,8,9,2,Slytherin
Muggle-born,7,3,8,4,1,2,4,7,Hufflepuff
Muggle-born,3,7,6,2,5,3,3,10,Ravenclaw
Half-blood,1,9,5,1,4,5,4,7,Ravenclaw
Pure-blood,7,3,7,7,0,7,4,2,Hufflepuff
Pure-blood,8,4,1,2,1,9,8,6,Gryffindor
Half-blood,7,3,1,6,3,7,10,6,Gryffindor
Pure-blood,2,5,2,7,7,7,7,1,Slytherin
Half-blood,4,4,3,10,7,5,8,7,Slytherin
Pure-blood,3,7,4,8,10,9,9,6,Slytherin
Muggle-born,1,3,3,7,10,7,7,7,Slytherin
Muggle-born,6,6,4,7,8,10,9,7,Slytherin
Muggle-born,4,1,6,7,7,10,8,2,Slytherin
Pure-blood,1,4,10,1,4,4,4,5,Hufflepuff
Muggle-born,3,5,9,5,2,1,5,7,Hufflepuff
Half-blood,10,6,5,2,3,9,9,3,Gryffindor
Pure-blood,1,8,6,1,4,4,3,9,Ravenclaw
Pure-blood,2,8,5,2,1,6,5,9,Ravenclaw
Half-blood,7,4,4,7,10,6,7,2,Slytherin
Pure-blood,2,5,7,4,1,0,5,6,Hufflepuff
Half-blood,9,3,7,2,4,8,9,1,Gryffindor
Pure-blood,2,6,7,4,2,4,6,7,Hufflepuff
Half-blood,2,6,6,9,10,5,7,6,Slytherin
Muggle-born,7,7,5,7,7,6,10,1,Slytherin
Muggle-born,2,8,6,3,4,7,6,8,Ravenclaw
Muggle-born,4,10,7,3,5,6,5,7,Ravenclaw
Muggle-born,10,7,6,2,3,8,10,6,Gryffindor
Half-blood,7,10,3,3,3,5,1,10,Ravenclaw
Half-blood,8,5,2,1,0,8,10,1,Gryffindor
Pure-blood,9,6,1,7,0,8,8,3,Gryffindor
Pure-blood,5,8,1,3,2,7,3,10,Ravenclaw
Pure-blood,7,7,10,1,1,6,1,4,Hufflepuff
Muggle-born,6,9,5,1,0,4,7,10,Ravenclaw
Pure-blood,2,8,4,5,3,4,7,9,Ravenclaw
Pure-blood,2,6,8,3,2,1,3,2,Hufflepuff
Muggle-born,4,4,4,8,10,5,7,2,Slytherin
Half-blood,1,7,4,10,8,10,7,2,Slytherin
Muggle-born,9,4,2,4,0,7,9,7,Gryffindor
Half-blood,5,3,4,9,7,6,7,3,Slytherin
Muggle-born,2,4,10,5,2,1,7,4,Hufflepuff
Muggle-born,7,7,2,3,0,0,4,10,Ravenclaw
Muggle-born,7,6,1,7,0,5,7,6,Gryffindor
Muggle-born,9,7,3,6,0,8,10,3,Gryffindor
Half-blood,3,3,9,7,2,6,5,2,Hufflepuff
Pure-blood,3,3,3,10,8,6,7,2,Slytherin
Half-blood,7,5,7,8,7,9,10,3,Slytherin
Half-blood,8,4,3,3,5,7,8,2,Gryffindor
Pure-blood,8,3,1,1,5,6,7,2,Gryffindor
Muggle-born,10,4,5,1,0,5,9,2,Gryffindor
Pure-blood,7,5,3,9,7,7,7,7,Slytherin
Muggle-born,7,3,5,1,0,7,10,3,Gryffindor
Pure-blood,10,5,2,5,2,6,10,1,Gryffindor
Pure-blood,6,6,9,1,1,3,4,2,Hufflepuff
Muggle-born,2,7,7,7,2,1,7,9,Ravenclaw
Pure-blood,1,6,10,4,0,1,3,5,Hufflepuff
Pure-blood,7,7,1,2,4,3,1,10,Ravenclaw
Pure-blood,2,9,7,2,0,6,3,8,Ravenclaw
Pure-blood,4,2,7,7,9,10,8,1,Slytherin
Muggle-born,6,4,7,5,3,2,2,2,Hufflepuff
Muggle-born,3,10,1,6,4,2,3,10,Ravenclaw
Pure-blood,10,5,6,2,0,8,7,3,Gryffindor
Muggle-born,6,7,6,1,4,3,7,9,Ravenclaw
Half-blood,7,1,5,9,9,6,8,2,Slytherin
Half-blood,8,7,5,1,0,7,7,7,Gryffindor
Pure-blood,8,5,1,3,0,10,7,5,Gryffindor
Muggle-born,6,4,6,7,7,5,7,7,Slytherin
Muggle-born,2,1,7,3,0,6,2,1,Hufflepuff
Half-blood,4,2,9,5,3,2,6,1,Hufflepuff
Muggle-born,1,4,4,10,9,7,7,5,Slytherin
Pure-blood,8,5,1,7,4,10,8,7,Gryffindor
Half-blood,6,2,9,7,4,4,7,3,Hufflepuff
Half-blood,1,5,3,7,7,8,10,6,Slytherin
Muggle-born,7,6,1,6,2,9,8,3,Gryffindor
Pure-blood,10,7,7,3,0,7,8,6,Gryffindor
Half-blood,2,7,9,6,5,3,7,3,Hufflepuff
Half-blood,7,5,5,7,7,7,10,7,Slytherin
Half-blood,1,9,6,4,4,4,2,9,Ravenclaw
Pure-blood,7,7,7,7,0,0,3,1,Hufflepuff
Half-blood,2,5,6,9,7,7,10,3,Slytherin
Pure-blood,4,5,6,10,8,6,8,6,Slytherin
Half-blood,3,7,7,3,5,0,1,7,Ravenclaw
Muggle-born,2,1,10,7,3,6,2,5,Hufflepuff
Half-blood,3,6,4,7,7,9,10,1,Slytherin
Pure-blood,1,2,5,8,10,8,8,3,Slytherin
Half-blood,5,2,8,5,0,1,1,4,Hufflepuff
Half-blood,4,6,3,8,9,9,8,7,Slytherin
Half-blood,10,3,1,7,0,5,8,2,Gryffindor
Muggle-born,7,10,4,3,0,1,4,9,Ravenclaw
Muggle-born,1,7,2,4,2,6,4,8,Ravenclaw
Muggle-born,6,4,7,2,2,5,1,4,Hufflepuff
Half-blood,7,3,7,3,2,4,5,4,Hufflepuff
Pure-blood,10,2,3,3,5,9,8,4,Gryffindor
Pure-blood,10,5,3,3,1,7,10,1,Gryffindor
Half-blood,5,8,6,3,3,6,5,8,Ravenclaw
Half-blood,4,3,9,5,1,3,3,7,Hufflepuff
Muggle-born,6,7,5,2,0,6,5,8,Ravenclaw
Pure-blood,1,5,6,10,9,7,9,3,Slytherin
Muggle-born,8,2,3,3,3,6,7,3,Gryffindor
Pure-blood,7,2,1,10,10,7,9,3,Slytherin
Muggle-born,4,7,2,4,3,3,1,7,Ravenclaw
Pure-blood,3,2,4,10,7,6,7,2,Slytherin
Half-blood,3,10,2,3,1,4,5,9,Ravenclaw
Muggle-born,7,1,8,1,1,0,7,5,Hufflepuff
Muggle-born,6,6,7,10,7,7,9,6,Slytherin
Muggle-born,3,10,3,7,4,3,5,7,Ravenclaw
Half-blood,6,4,9,2,5,4,3,7,Hufflepuff
Pure-blood,6,7,7,1,3,5,4,9,Ravenclaw
Half-blood,4,7,4,1,2,2,4,7,Ravenclaw
Half-blood,7,5,1,10,9,6,8,3,Slytherin
Pure-blood,1,3,7,7,4,6,6,7,Hufflepuff
Pure-blood,9,2,1,1,0,6,10,7,Gryffindor
Muggle-born,8,7,5,3,2,9,9,1,Gryffindor
Half-blood,10,7,6,4,2,8,8,7,Gryffindor
Half-blood,3,7,1,7,7,6,10,1,Slytherin
Pure-blood,2,10,1,1,1,4,6,8,Ravenclaw
Half-blood,5,6,3,10,7,9,8,7,Slytherin
Half-blood,7,7,4,5,1,5,5,8,Ravenclaw
Half-blood,3,9,3,5,4,1,6,7,Ravenclaw
Pure-blood,4,7,6,10,10,6,9,6,Slytherin
Muggle-born,1,1,1,10,10,8,7,6,Slytherin
Half-blood,5,6,5,8,9,6,8,5,Slytherin
Pure-blood,3,6,10,5,2,1,7,7,Hufflepuff
Muggle-born,6,7,5,9,9,8,9,1,Slytherin
Pure-blood,6,1,4,9,9,10,10,2,Slytherin
Half-blood,6,2,7,8,7,8,9,3,Slytherin
Half-blood,4,2,10,4,3,6,7,6,Hufflepuff
Muggle-born,7,10,6,5,2,7,4,7,Ravenclaw
Muggle-born,7,7,1,3,2,1,6,8,Ravenclaw
Muggle-born,7,3,5,8,8,7,10,6,Slytherin
Pure-blood,10,2,7,1,0,9,9,3,Gryffindor
Pure-blood,4,6,6,10,10,6,7,5,Slytherin
Pure-blood,5,4,8,4,2,5,5,4,Hufflepuff
Half-blood,1,6,7,4,2,0,2,6,Hufflepuff
Muggle-born,9,1,5,4,5,5,10,4,Gryffindor
Muggle-born,7,7,4,9,10,6,7,3,Slytherin
Pure-blood,2,2,7,9,9,9,10,2,Slytherin
Half-blood,6,10,6,7,5,6,3,9,Ravenclaw
Half-blood,2,2,7,1,4,7,3,4,Hufflepuff
Pure-blood,4,2,5,8,10,7,8,6,Slytherin
Half-blood,1,2,1,10,10,9,8,4,Slytherin
Muggle-born,10,5,4,3,3,8,7,7,Gryffindor
Pure-blood,6,2,7,1,2,4,5,4,Hufflepuff
Muggle-born,2,5,10,3,3,0,5,1,Hufflepuff
Pure-blood,7,3,5,2,2,6,10,2,Gryffindor
Half-blood,4,7,10,3,3,5,1,3,Hufflepuff
Pure-blood,1,7,7,2,2,2,6,7,Ravenclaw
Pure-blood,2,7,8,6,2,7,7,7,Hufflepuff
Half-blood,8,3,1,2,3,6,9,2,Gryffindor
Half-blood,2,7,4,3,0,7,2,10,Ravenclaw
Pure-blood,4,6,10,3,1,2,7,7,Hufflepuff
Muggle-born,1,10,2,7,3,5,5,8,Ravenclaw
Half-blood,2,1,7,9,7,10,9,2,Slytherin
Half-blood,6,9,2,6,1,2,1,9,Ravenclaw
Pure-blood,2,2,10,5,5,2,7,1,Hufflepuff
Muggle-born,9,2,1,1,1,9,10,7,Gryffindor
Muggle-born,3,9,4,4,3,7,7,10,Ravenclaw
Half-blood,6,9,7,6,1,0,7,8,Ravenclaw
Muggle-born,6,5,2,7,8,8,9,1,Slytherin
Pure-blood,4,7,7,7,5,1,3,7,Ravenclaw
Muggle-born,6,5,9,2,3,6,1,5,Hufflepuff
Half-blood,3,4,8,3,0,7,2,1,Hufflepuff
Half-blood,5,3,1,7,9,5,10,3,Slytherin
Half-blood,3,7,1,7,1,7,4,9,Ravenclaw
Half-blood,5,4,7,9,9,9,10,6,Slytherin
Half-blood,5,7,1,9,7,9,10,5,Slytherin
Half-blood,10,7,1,6,1,6,9,5,Gryffindor
Pure-blood,3,3,2,10,10,9,9,2,Slytherin
Pure-blood,8,1,7,4,1,5,9,5,Gryffindor
Muggle-born,1,3,6,10,7,6,8,4,Slytherin
Half-blood,3,9,5,6,1,4,2,9,Ravenclaw
Half-blood,4,3,10,7,3,3,4,7,Hufflepuff
Muggle-born,7,10,1,4,5,1,3,10,Ravenclaw
Muggle-born,2,1,5,10,7,9,7,1,Slytherin
Pure-blood,1,4,8,6,5,5,2,7,Hufflepuff
Pure-blood,2,1,10,6,1,1,4,5,Hufflepuff
Muggle-born,7,3,5,9,9,7,7,1,Slytherin
Half-blood,8,7,1,5,0,8,10,1,Gryffindor
Half-blood,7,5,6,6,1,7,10,1,Gryffindor
Half-blood,3,7,9,4,5,5,1,3,Hufflepuff
Muggle-born,5,4,6,10,10,6,9,4,Slytherin
Half-blood,7,5,2,9,8,5,8,3,Slytherin
Muggle-born,10,7,6,6,1,10,9,6,Gryffindor
Muggle-born,5,5,9,6,5,4,2,7,Hufflepuff
Muggle-born,6,5,9,2,3,7,1,6,Hufflepuff
Pure-blood,4,6,7,8,8,8,10,4,Slytherin
Half-blood,1,6,3,9,9,5,8,4,Slytherin
Pure-blood,5,5,1,10,9,7,10,1,Slytherin
Half-blood,3,4,4,10,8,9,10,6,Slytherin
Pure-blood,9,7,3,2,1,6,9,7,Gryffindor
Muggle-born,7,2,9,5,2,6,7,5,Hufflepuff
Pure-blood,4,9,2,1,4,4,4,10,Ravenclaw
Pure-blood,9,2,3,1,3,8,8,1,Gryffindor
Pure-blood,5,1,9,7,0,2,3,5,Hufflepuff
Pure-blood,1,9,6,5,0,6,4,9,Ravenclaw
Pure-blood,8,3,7,2,4,9,9,7,Gryffindor
Pure-blood,2,8,5,6,1,6,7,7,Ravenclaw
Half-blood,6,4,10,7,1,2,4,5,Hufflepuff
Half-blood,3,9,4,2,4,4,3,9,Ravenclaw
Pure-blood,6,8,5,5,5,1,4,10,Ravenclaw
Muggle-born,5,4,9,6,0,3,2,5,Hufflepuff
Half-blood,9,7,3,2,4,9,10,2,Gryffindor
Half-blood,1,9,6,3,2,0,7,8,Ravenclaw
Pure-blood,2,9,6,1,0,7,4,8,Ravenclaw
Half-blood,9,6,7,4,3,6,10,7,Gryffindor
Pure-blood,3,4,3,10,10,9,8,5,Slytherin
Half-blood,1,9,4,6,2,6,4,8,Ravenclaw
Pure-blood,7,1,5,10,7,9,8,5,Slytherin
Muggle-born,4,9,7,3,4,0,1,10,Ravenclaw
Half-blood,7,7,5,1,1,7,8,1,Gryffindor
Pure-blood,6,9,2,2,3,6,5,7,Ravenclaw
Muggle-born,3,4,7,8,8,6,7,2,Slytherin
Pure-blood,2,4,8,7,1,3,6,7,Hufflepuff
Half-blood,2,3,2,9,9,10,7,2,Slytherin
Half-blood,3,2,2,9,8,6,9,6,Slytherin
Half-blood,7,3,9,5,3,5,7,4,Hufflepuff
Pure-blood,9,7,1,5,2,6,7,3,Gryffindor
Pure-blood,7,1,7,1,0,10,9,6,Gryffindor
Half-blood,9,5,2,5,1,8,9,6,Gryffindor
Half-blood,3,3,5,9,9,6,9,5,Slytherin
Pure-blood,6,10,7,2,1,5,2,7,Ravenclaw
Muggle-born,4,1,7,10,7,6,9,4,Slytherin
Muggle-born,6,2,1,9,8,7,8,1,Slytherin
Half-blood,6,2,7,5,5,3,2,1,Hufflepuff
Half-blood,8,1,6,5,3,5,10,3,Gryffindor
Pure-blood,1,4,7,7,4,4,7,6,Hufflepuff
Half-blood,6,7,7,9,7,7,9,3,Slytherin
Half-blood,1,5,10,2,4,4,5,2,Hufflepuff
Half-blood,9,1,6,2,3,6,8,1,Gryffindor
Pure-blood,7,4,4,3,3,8,7,7,Gryffindor
Muggle-born,7,7,6,7,10,5,10,2,Slytherin
Pure-blood,9,5,3,5,5,5,10,6,Gryffindor
Half-blood,1,7,5,10,8,8,8,2,Slytherin
Muggle-born,8,1,3,1,0,9,7,2,Gryffindor
Muggle-born,5,7,2,10,8,9,8,1,Slytherin
Half-blood,7,3,1,7,9,5,7,5,Slytherin
Pure-blood,6,10,5,4,2,5,5,8,Ravenclaw
Pure-blood,10,6,4,3,3,6,8,5,Gryffindor
Half-blood,6,8,4,1,4,2,6,9,Ravenclaw
Muggle-born,8,4,6,5,1,6,10,7,Gryffindor
Muggle-born,4,7,10,1,2,5,7,2,Hufflepuff
Half-blood,5,7,6,7,10,10,7,4,Slytherin
Half-blood,3,1,1,10,9,9,10,7,Slytherin
Pure-blood,4,7,10,6,1,1,3,5,Hufflepuff
Pure-blood,9,4,7,5,3,7,10,5,Gryffindor
Pure-blood,3,6,1,10,9,5,9,2,Slytherin
Pure-blood,6,4,7,7,2,3,6,2,Hufflepuff
Pure-blood,9,5,1,3,5,5,8,3,Gryffindor
Muggle-born,6,5,7,10,9,5,8,7,Slytherin
Muggle-born,7,6,6,2,0,8,10,2,Gryffindor
Muggle-born,7,3,8,5,1,5,1,4,Hufflepuff
Pure-blood,6,1,4,9,10,7,10,7,Slytherin
Muggle-born,6,8,7,4,4,3,5,10,Ravenclaw
Muggle-born,8,4,6,7,2,5,9,6,Gryffindor
Muggle-born,4,5,5,9,10,5,9,7,Slytherin
Muggle-born,10,5,3,1,2,8,8,6,Gryffindor
Muggle-born,5,6,8,2,2,7,5,2,Hufflepuff
Pure-blood,6,4,10,6,2,0,4,4,Hufflepuff
Half-blood,3,7,8,2,2,3,7,1,Hufflepuff
Muggle-born,1,7,6,10,9,6,10,2,Slytherin
Pure-blood,7,2,5,3,1,5,10,3,Gryffindor
Pure-blood,6,4,10,6,3,4,1,1,Hufflepuff
Half-blood,9,6,1,4,3,6,7,2,Gryffindor
Pure-blood,4,7,7,4,5,2,1,10,Ravenclaw
Muggle-born,3,5,4,8,10,5,10,5,Slytherin
Muggle-born,5,9,1,4,4,7,1,10,Ravenclaw
Pure-blood,4,7,5,1,3,4,3,10,Ravenclaw
Half-blood,10,4,5,7,5,10,9,3,Gryffindor
Half-blood,4,1,9,4,3,0,4,2,Hufflepuff
Pure-blood,5,1,10,1,1,2,7,5,Hufflepuff
Half-blood,9,7,4,3,0,9,9,7,Gryffindor
Half-blood,8,7,6,7,5,10,10,6,Gryffindor
Pure-blood,10,3,6,5,2,5,8,7,Gryffindor
Half-blood,9,5,1,6,2,5,10,4,Gryffindor
Half-blood,7,10,3,7,1,1,3,8,Ravenclaw
Pure-blood,7,3,2,7,8,6,7,7,Slytherin
Half-blood,5,10,5,3,3,5,7,10,Ravenclaw
Half-blood,5,6,10,4,4,6,2,4,Hufflepuff
Half-blood,7,1,10,5,3,0,3,3,Hufflepuff
